======================
========== BEGIN TASK ==========
.
.
.
.
. CinemaId: 0000001001 || Cinema Name: Major Cineplex Ratchayothin
. On progress branch : 1/154
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251847 || Showtimes: 2019-02-02T20:00:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251848 || Showtimes: 2019-02-02T22:30:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251860 || Showtimes: 2019-02-03T12:30:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251861 || Showtimes: 2019-02-03T15:00:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251862 || Showtimes: 2019-02-03T17:30:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251863 || Showtimes: 2019-02-03T20:00:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251864 || Showtimes: 2019-02-03T22:30:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 252020 || Showtimes: 2019-01-17T16:20:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 252021 || Showtimes: 2019-01-17T19:00:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 252022 || Showtimes: 2019-01-17T21:40:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 252114 || Showtimes: 2019-01-18T12:30:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 252115 || Showtimes: 2019-01-18T15:10:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 252116 || Showtimes: 2019-01-18T17:50:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 252117 || Showtimes: 2019-01-18T20:30:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 252118 || Showtimes: 2019-01-18T23:10:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 251807 || Showtimes: 2019-01-31T11:00:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 251808 || Showtimes: 2019-01-31T13:30:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 251809 || Showtimes: 2019-01-31T16:00:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 251810 || Showtimes: 2019-01-31T18:30:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 251811 || Showtimes: 2019-01-31T21:00:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 251812 || Showtimes: 2019-01-31T23:30:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 251833 || Showtimes: 2019-02-01T11:00:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 251834 || Showtimes: 2019-02-01T13:30:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 251835 || Showtimes: 2019-02-01T16:00:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 251836 || Showtimes: 2019-02-01T18:30:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 251837 || Showtimes: 2019-02-01T21:00:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 251838 || Showtimes: 2019-02-01T23:30:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 251849 || Showtimes: 2019-02-02T11:00:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 251850 || Showtimes: 2019-02-02T13:30:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 251851 || Showtimes: 2019-02-02T16:00:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 251852 || Showtimes: 2019-02-02T18:30:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 251853 || Showtimes: 2019-02-02T21:00:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 251854 || Showtimes: 2019-02-02T23:30:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 251865 || Showtimes: 2019-02-03T11:00:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 251866 || Showtimes: 2019-02-03T13:30:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 251867 || Showtimes: 2019-02-03T16:00:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 251868 || Showtimes: 2019-02-03T18:30:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 251869 || Showtimes: 2019-02-03T21:00:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 251870 || Showtimes: 2019-02-03T23:30:00
>>> Subtotal SessionIds : 0|| Requests 346 || Theatres : 0 || Branches : 0
.
.
.
.
. CinemaId: 0000001002 || Cinema Name: Major Cineplex Sukhumvit
. On progress branch : 2/154
>>> Theatre Name: Theatre1 || Theatre Number: 1 || SessionId: 137626 || Showtimes: 2019-01-17T18:30:00
>>> Theatre Name: Theatre1 || Theatre Number: 1 || SessionId: 137627 || Showtimes: 2019-01-17T21:30:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 137630 || Showtimes: 2019-01-17T16:40:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 137631 || Showtimes: 2019-01-17T19:00:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 137632 || Showtimes: 2019-01-17T21:40:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 137369 || Showtimes: 2019-01-31T11:00:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 137370 || Showtimes: 2019-01-31T13:30:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 137371 || Showtimes: 2019-01-31T16:00:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 137372 || Showtimes: 2019-01-31T18:30:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 137373 || Showtimes: 2019-01-31T21:00:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 137374 || Showtimes: 2019-01-31T23:30:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 137375 || Showtimes: 2019-02-01T11:00:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 137376 || Showtimes: 2019-02-01T13:30:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 137377 || Showtimes: 2019-02-01T16:00:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 137378 || Showtimes: 2019-02-01T18:30:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 137379 || Showtimes: 2019-02-01T21:00:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 137380 || Showtimes: 2019-02-01T23:30:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 137387 || Showtimes: 2019-02-02T11:00:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 137388 || Showtimes: 2019-02-02T13:30:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 137389 || Showtimes: 2019-02-02T16:00:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 137390 || Showtimes: 2019-02-02T18:30:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 137391 || Showtimes: 2019-02-02T21:00:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 137392 || Showtimes: 2019-02-02T23:30:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 137399 || Showtimes: 2019-02-03T11:00:00
