Last login: Thu Jan 17 10:32:46 on ttys001
next-major $node ./tools/checkingSeatsInGroup
======================
========== BEGIN TASK ==========
.
.
.
.
. CinemaId: 0000001001 || Cinema Name: Major Cineplex Ratchayothin
. On progress branch : 1/154
......... Seat IDs : 23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
.........
.........
......... row: C
......... Seat IDs : 24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 252014 || Showtimes: 2019-01-17T12:30:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 252015 || Showtimes: 2019-01-17T15:10:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 252016 || Showtimes: 2019-01-17T17:50:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 252017 || Showtimes: 2019-01-17T23:10:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 252110 || Showtimes: 2019-01-18T11:00:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 252111 || Showtimes: 2019-01-18T13:40:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 252112 || Showtimes: 2019-01-18T16:20:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 252119 || Showtimes: 2019-01-18T19:00:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 252113 || Showtimes: 2019-01-18T21:40:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251818 || Showtimes: 2019-01-31T12:30:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251819 || Showtimes: 2019-01-31T15:00:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251820 || Showtimes: 2019-01-31T17:30:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251821 || Showtimes: 2019-01-31T20:00:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251822 || Showtimes: 2019-01-31T22:30:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251828 || Showtimes: 2019-02-01T12:30:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251829 || Showtimes: 2019-02-01T15:00:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251830 || Showtimes: 2019-02-01T17:30:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251831 || Showtimes: 2019-02-01T20:00:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251832 || Showtimes: 2019-02-01T22:30:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251844 || Showtimes: 2019-02-02T12:30:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251845 || Showtimes: 2019-02-02T15:00:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251846 || Showtimes: 2019-02-02T17:30:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251847 || Showtimes: 2019-02-02T20:00:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251848 || Showtimes: 2019-02-02T22:30:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251860 || Showtimes: 2019-02-03T12:30:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251861 || Showtimes: 2019-02-03T15:00:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251862 || Showtimes: 2019-02-03T17:30:00
